,Open,High,Low,Close,Volume,Returns,SMA_50,SMA_200,Target
4197,0.1167793041041102,0.11816811976762202,0.11756630340842389,0.11896731778577471,0.034596949487908875,0.4690733512929595,0.1160960980511196,0.10784349128748436,0.11759552122065214
4198,0.11942540457388579,0.11909514621353649,0.11862196429055524,0.11759552122065214,0.02087190679794238,0.4018185011723741,0.11634840247733726,0.10800696006954189,0.11493267855980463
4199,0.11681966803067062,0.11601165002670218,0.11606394277505103,0.11493267855980463,0.030480961628548117,0.37509868733677587,0.11652238889643214,0.10816901543335855,0.11612291824078719
4200,0.1150017439086023,0.11532644861166409,0.115272205990027,0.11612291824078719,0.03149376673373009,0.45450713042756574,0.11672518874371295,0.10832836104746202,0.11348023184681177
4201,0.11534511436411427,0.1146210626112787,0.11385106598126299,0.11348023184681177,0.03682679987512563,0.37494539991714193,0.11688719602928703,0.10847847150252596,0.11436786000063975
4202,0.11413316494095846,0.11439938500832632,0.11517068804351313,0.11436786000063975,0.02867501241375907,0.44838369255343125,0.11704846701875214,0.10863672585454259,0.1128346878986311
4203,0.11524411707059426,0.11484274303997609,0.11370894576742696,0.1128346878986311,0.014975157061038684,0.39751465056995544,0.11713956688030878,0.10877565619860619,0.1146704464474125
4204,0.11308279099305363,0.1145203052216897,0.11411499819006926,0.1146704464474125,0.02356078355578721,0.4685697462120675,0.1172216115298141,0.108924417379448,0.11364163246407968
4205,0.11310299142095515,0.1131901778548058,0.11391199702151839,0.11364163246407968,0.023460205549233018,0.4081348119180772,0.11726558808894284,0.10907091633477942,0.11543700323797135
4206,0.11397154397929746,0.11532642278430337,0.11508945755294314,0.11543700323797135,0.016196485903829605,0.46749160547316215,0.11735109579033821,0.10922905599346097,0.11648603200906721
4207,0.11550672880903087,0.11615274982918335,0.11610456484586029,0.11648603200906721,0.013003005688911367,0.45147993783094365,0.11744010432492759,0.10938243008662718,0.11650616319555748
4208,0.11659746829367704,0.11701932080562309,0.11722113062204839,0.11650616319555748,0.017193184820568492,0.4300716649249436,0.11752152479214671,0.10953523899439796,0.11884622970225103
4209,0.11799122662869915,0.118228522707111,0.11884526200626247,0.11884622970225103,0.01769161995015306,0.4779700085203502,0.11761207902138397,0.10970586912107266,0.12009695490410446
4210,0.11962738451237909,0.11976020481817172,0.12038818602334936,0.12009695490410446,0.022007564425610485,0.45505798174781603,0.11773356137746467,0.10988967026463237,0.12213445168427983
4211,0.1211221584401487,0.12223910076344956,0.12170781755239227,0.12213445168427983,0.03159982769805214,0.4706796966150074,0.11790714626037606,0.11007323172975766,0.12328430359037265
4212,0.12225332890477317,0.12260185747665041,0.12325073950201296,0.12328430359037265,0.024636128648008848,0.45248623174848884,0.11811628493181976,0.11026246994054584,0.12318343029461204
4213,0.12283908070230048,0.12248092364078834,0.12312891700765821,0.12318343029461204,0.03257168196240541,0.42766869695645554,0.11831529153618693,0.1104582741532932,0.12431315101421458
4214,0.12366730284336949,0.12379094433573469,0.1247327719538088,0.12431315101421458,0.0256852583484029,0.4519274049077253,0.11854057407093248,0.11065827922484722,0.12503932839001097
4215,0.12504081255526311,0.12431488903547862,0.12438759689897758,0.12503932839001097,0.059859163376035286,0.4438633623035059,0.11877690421039845,0.11086448319352454,0.12417191502394606
4216,0.12356627394017339,0.12429475646249845,0.12416430269514439,0.12417191502394606,0.0673230109799656,0.41276765348631295,0.1189836196065814,0.11106776152478368,0.1237886533489212
4217,0.12372790275509238,0.12320649451927894,0.12408312407805142,0.1237886533489212,0.023935166765873934,0.4221504797590375,0.11921811550767376,0.11126430990388633,0.12497885122926736
4218,0.12427327970507804,0.12433507080093616,0.12483427458278126,0.12497885122926736,0.02500417218817648,0.45302401284444205,0.11948100133489416,0.11146653909748888,0.12469646285000313
4219,0.1253640667694872,0.12447617702204637,0.12546365274525534,0.12469646285000313,0.015123710948061652,0.42415571763254145,0.11973584431328126,0.1116664712171887,0.1229009917545841
4220,0.12419243462495802,0.12455671486551335,0.12243863519260823,0.1229009917545841,0.05040654418424383,0.3946183728656163,0.11989485527786393,0.11185340124854254,0.12265891590906408
